ID	en	nl	de	es	fr	ja	ko	zh-TW	ru	hi
tutorial_dialogue_11	Now, go off and rescue the world!	Ga nu uit en red de wereld!	Jetzt geh weg und rette die Welt!	¡Ahora, vaya y rescata al mundo!	Maintenant, partez et sauvez le monde!	さて、オフに行って世界を救出してください！	자, 세상을 구출하십시오!	現在，離開並營救世界！	Теперь уйдите и спасите мир!	अब, जाओ और दुनिया को बचाने के लिए!
tutorial_dialogue_12	Start by clicking the highlighted tile, it is always safe	Begin met het klikken op de gemarkeerde tegel, het is altijd veilig	Beginnen Sie mit dem Klicken auf die hervorgehobene Kachel, es ist immer sicher	Comience haciendo clic en el mosaico resaltado, siempre es seguro	Commencez par cliquer sur la tuile en surbrillance, il est toujours sûr	強調表示されたタイルをクリックすることから始めてください、それは常に安全です	강조 표시된 타일을 클릭하여 시작하면 항상 안전합니다.	首先單擊突出顯示的瓷磚，它始終是安全的	Начните с нажатия выделенной плитки, она всегда безопасна	हाइलाइट की गई टाइल पर क्लिक करके शुरू करें, यह हमेशा सुरक्षित है
										
ui_button_play	Play Game	Spel spelen	Spiel spielen	Jugar un juego	Jouer au jeu	ゲームします	게임하다	玩遊戲	Играть в игру	खेल खेलना
ui_button_settings	Settings	Instellingen	Einstellungen	Ajustes	Paramètres	設定	설정	設置	Настройки	समायोजन
ui_button_quit	Quit Game	Stop met spel	Spiel verlassen	Salir del juego	Quitter le jeu	ゲームをやめる	게임을 종료하십시오	退出遊戲	Выйти из игры	गेम से बाहर निकलें
ui_button_audio	Sound	Geluid	Klang	Sonido	Son	音	소리	聲音	Звук	आवाज़
ui_button_tutorial	Tutorial	Zelfstudie	Lernprogramm	Tutorial	Didacticiel	チュートリアル	지도 시간	教程	Руководство	ट्यूटोरियल
ui_button_credits	Credits	Credits	Credits	Créditos	Crédits	クレジット	크레딧	學分	Кредиты	क्रेडिट
ui_button_back	Go Back	Ga terug	Geh zurück	Regresa	Retourner	戻る	돌아 가라	回去	Возвращаться	वापस जाओ
ui_button_galaxy	Galaxy	heelal	Galaxis	Galaxia	Galaxie	銀河	은하	星系	Галактика	आकाशगंगा
ui_button_asia	Asia	Azië	Asien	Asia	Asie	アジア	아시아	亞洲	Азия	एशिया
ui_button_desert	Desert	Woestijn	Wüste	Desierto	Désert	荒野	사막	沙漠	Пустыня	रेगिस्तान
ui_button_arctic	Arctic	Noordpoolgebied	Arktis	Ártico	Arctique	北極	북극	北極	Арктический	आर्कटिक
ui_button_islands	Secret Islands	Geheime eilanden	Geheiminseln	Islas secretas	Îles secrètes	秘密の島	비밀 제도	秘密島嶼	Секретные острова	गुप्त द्वीप
ui_button_garden	Garden	Tuin	Garten	Jardín	Jardin	公園	정원	花園	Сад	बगीचा
ui_button_garden_plus	Garden Plus	Tuinplus	Garten plus	Jardín más	Jardin plus	庭のプラス	가든 플러스	花園加	Сад плюс	उद्यान -प्लस
ui_button_music	Music	Muziek	Musik	Música	Musique	音楽	음악	音樂	Музыка	संगीत
ui_button_side_sfx	Ambience	Sfeer	Ambiente	Ambiente	Ambiance	雰囲気	분위기	環境	Атмосфера	माहौल
ui_button_main_sfx	Effects	Effecten	Auswirkungen	Efectos	Effets	効果	효과	效果	Последствия	प्रभाव
ui_button_rtx_on	RTX On	RTX Aan	RTX auf	Rtx en	RTX sur	rtx on	rtx on	RTX打開	Rtx on	आरटीएक्स ऑन
ui_button_rtx_off	RTX Off	RTX Uit	RTX aus	Rtx apagado	Rtx off	rtxオフ	RTX OFF	RTX關閉	Rtx off	आरटीएक्स ऑफ
ui_button_reset	Reset	Reset	Zurücksetzen	Reiniciar	Réinitialiser	リセット	초기화	重置	Перезагрузить	रीसेट
ui_button_area_select	Levels	Niveaus	Ebenen	Nivel	Les niveaux	レベル	레벨	水平	Уровни	स्तरों
ui_button_main_menu	Main Menu	Hoofdmenu	Hauptmenü	Menú principal	Menu principal	メインメニュー	메인 메뉴	主菜單	Главное меню	मुख्य मेन्यू
ui_button_skins	Visuals	Beelden	Bilder	Visuales	Visuels	ビジュアル	비주얼	視覺效果	Визуальные эффекты	विजुअल्स
ui_button_play_again	Again	Opnieuw	Nochmal	De nuevo	Encore	また	다시	再次	Снова	दोबारा
ui_button_grid_create	Generate	Genereren	Generieren	Generar	Générer	生成	생성하다	產生	Генерировать	बनाना
ui_button_grid_length	Length	Lengte	Länge	Longitud	Longueur	長さ	길이	長度	Длина	लंबाई
ui_button_grid_width	Width	Breedte	Breite	Ancho	Largeur	幅	너비	寬度	Ширина	चौड़ाई
ui_button_grid_bomb	Mines	Mijnen	Minen	Minas	Mines	鉱山	광산	地雷	Шахты	खानों
										
ui_window_skins	Create a custom flag color	Maak een aangepaste vlagkleur	Erstellen Sie eine benutzerdefinierte Flaggenfarbe	Crear un color de bandera personalizado	Créer une couleur de drapeau personnalisé	カスタムフラグの色を作成します	사용자 정의 플래그 색상을 만듭니다	創建自定義標誌顏色	Создайте пользовательский цвет флага	एक कस्टम ध्वज रंग बनाएं
ui_window_flags	Choose a flag	Kies een vlag	Wählen Sie eine Flagge	Elige una bandera	Choisissez un drapeau	フラグを選択してください	깃발을 선택하십시오	選擇一個標誌	Выберите флаг	एक झंडा चुनें
ui_window_victory	Victory!	Zege!	Sieg!	¡Victoria!	La victoire!	勝利！	승리!	勝利！	Победа!	विजय!
ui_window_game_over	Game Over	Spel is over	Spiel ist aus	Juego terminado	Jeu terminé	ゲームオーバー	게임 끝	遊戲結束	Игра закончена	खेल खत्म
ui_window_time	Time:	Tijd:	Zeit:	Tiempo:	Temps:	時間：	시간:	時間：	Время:	समय:
ui_window_skill	Skills:	Vaardigheden:	Fähigkeiten:	Habilidades:	Compétences:	スキル：	기술 :	技能：	Навыки:	कौशल:
ui_window_version	Version:	Versie:	Ausführung:	Versión:	Version:	バージョン：	버전:	版本：	Версия:	संस्करण:
ui_window_rtx	RTX	RTX	RTX	Rtx	Rtx	RTX	RTX	RTX	RTX	आरटीएक्स
ui_window_language	Language	Taal	Sprache	Idioma	Langue	言語	언어	語言	Язык	भाषा
ui_garden_info	This area has a set maximum amount of tiles that you can use for a custom field. You can toggle tiles to be used or not though!	Dit gebied heeft een vaste maximale hoeveelheid tegels die u kunt gebruiken voor een aangepast veld. U kunt echter Tegels schakelen om te gebruiken of niet!	Dieser Bereich verfügt über eine maximale Menge an Kacheln, die Sie für ein benutzerdefiniertes Feld verwenden können. Sie können die Fliesen umschalten, um sie zu verwenden oder nicht!	Esta área tiene una cantidad máxima establecida de mosaicos que puede usar para un campo personalizado. ¡Puede alternar los mosaicos para ser utilizados o no!	Cette zone a une quantité maximale de tuiles définie que vous pouvez utiliser pour un champ personnalisé. Vous pouvez basculer les carreaux à utiliser ou non!	この領域には、カスタムフィールドに使用できる最大量のタイルが設定されています。使用するタイルを切り替えることができますが、	이 영역에는 사용자 정의 필드에 사용할 수있는 최대 타일의 세트가 있습니다. 타일을 토글 할 수 있습니다.	該區域具有最大的瓷磚量，您可以將其用於自定義字段。您可以切換是否使用或不使用瓷磚！	Эта область имеет установленное максимальное количество плиток, которые вы можете использовать для пользовательского поля. Вы можете использовать плитки для использования или нет!	इस क्षेत्र में एक अधिकतम मात्रा में टाइलें हैं जिनका आप कस्टम फ़ील्ड के लिए उपयोग कर सकते हैं। आप टाइल का उपयोग करने के लिए टॉगल कर सकते हैं या नहीं!
ui_garden_plus_info	Unlimited amount of mines and tiles for the biggest puzzles ever! Your computer is your only limit. No editing in here though!	Onbeperkt aantal mijnen en tegels voor de grootste puzzels ooit! Uw computer is uw enige limiet. Geen bewerking hier echter!	Unbegrenzte Menge an Minen und Fliesen für die größten Rätsel aller Zeiten! Ihr Computer ist Ihr einziges Limit. Keine Bearbeitung hier!	¡Cantidad ilimitada de minas y azulejos para los rompecabezas más grandes de la historia! Su computadora es su único límite. ¡Sin embargo, no hay edición aquí!	Quantité illimitée de mines et de tuiles pour les plus gros puzzles de tous les temps! Votre ordinateur est votre seule limite. Pas d'édition ici cependant!	これまでで最大のパズルのための無制限の量の鉱山とタイル！あなたのコンピュータはあなたの唯一の制限です。ここでは編集はありません！	가장 큰 퍼즐을위한 무제한의 광산과 타일! 귀하의 컴퓨터가 유일한 한계입니다. 그래도 편집이 없습니다!	有史以來最大的難題無限量的礦山和瓷磚！您的計算機是您唯一的限制。不過這裡沒有編輯！	Неограниченное количество шахт и плиток для самых больших загадок за всю историю! Ваш компьютер - ваш единственный предел. Нет редактирования здесь, хотя!	अब तक की सबसे बड़ी पहेलियों के लिए असीमित मात्रा में खानों और टाइलें! आपका कंप्यूटर आपकी एकमात्र सीमा है। हालांकि यहाँ कोई संपादन नहीं!
ui_window_difficulty	Difficulty	Moeilijkheid	Schwierigkeit	Dificultad	Difficulté	困難	어려움	困難	Сложность	कठिनाई
ui_window_settings	Settings	Instellingen	Einstellungen	Ajustes	Paramètres	設定	설정	設置	Настройки	समायोजन
ui_window_lmb	Hold the left mouse button to mark tiles as playable for when you generate the grid.	Houd de linkermuisknop vast om tegels te markeren als speelbaar voor wanneer u het rooster genereert.	Halten Sie die linke Maustaste gedrückt, um Fliesen als spielbar zu markieren, wenn Sie das Netz erzeugen.	Mantenga presionado el botón izquierdo del mouse para marcar los mosaicos como jugables para cuando genere la cuadrícula.	Tenez le bouton gauche de la souris pour marquer les carreaux comme jouables lorsque vous générez la grille.	左マウスボタンを押して、グリッドを生成するときにプレイ可能なタイルをマークします。	그리드를 생성 할 때 타일을 재생 가능한 것으로 표시하려면 왼쪽 마우스 버튼을 누르십시오.	按住左鼠標按鈕以將瓷磚標記為可播放的，以便在生成網格時。	Удерживайте левую кнопку мыши, чтобы пометить плитки как воспроизводимую, когда вы генерируете сетку.	जब आप ग्रिड उत्पन्न करते हैं तो टाइलों को चिन्हित करने के लिए बाएं माउस बटन को पकड़ें।
ui_window_rmb	Holding the right mouse button marks tiles as unplayable on the grid.	Het vasthouden van de rechter muisknop markeert tegels als onspeelbaar op het rooster.	Das Halten der rechten Maustaste markiert Kacheln als nicht spielbar auf dem Netz.	Manteniendo el botón derecho del mouse marca los mosaicos como imposibles de reproducir en la cuadrícula.	Maintenir le bouton droit de la souris marque les carreaux comme injouables sur la grille.	右のマウスボタンを保持すると、グリッドではタイルがプレイできないとマークされています。	오른쪽 마우스 버튼을 누르면 타일이 그리드에서 플레이 할 수없는 것으로 표시됩니다.	握住右鼠標按鈕將瓷磚標記為無法在網格上播放。	Удерживая правую кнопку мыши, отмечает плитку как неиграбельную на сетке.	सही माउस बटन को पकड़े हुए टाइलों को ग्रिड पर अप्राप्य के रूप में चिह्नित किया जाता है।
ui_window_rtx_dx12	Launch in DX12 to enable through Steam	Start in DX12 om door STEAM in te schakelen	Starten Sie in DX12, um durch Steam zu aktivieren	Lanzar en DX12 para habilitar a través de Steam	Lancez dans DX12 pour activer via Steam	DX12で起動して、蒸気を介して有効にします	증기를 통해 활성화하려면 DX12로 시작합니다	在DX12發射以通過Steam啟用	Запустить в DX12, чтобы провести через Steam	भाप के माध्यम से सक्षम करने के लिए DX12 में लॉन्च करें
										
asia_dialogue_1	Asia has been marked by mines deployed by the evil	Azië is gekenmerkt door mijnen die door het kwaad zijn ingezet	Asien wurde durch Minen gekennzeichnet, die vom Bösen eingesetzt wurden	Asia ha sido marcada por minas desplegadas por el mal	L'Asie a été marquée par des mines déployées par le mal	アジアは悪によって配備された鉱山によってマークされています	아시아는 The Evil이 배치 한 광산으로 표시되었습니다.	亞洲是由邪惡部署的地雷標記	Азия была отмечена шахтами, развернутыми злом	एशिया को बुराई द्वारा तैनात खानों द्वारा चिह्नित किया गया है
asia_dialogue_2	Solve the puzzles quickly to bring back the nature!	Los de puzzels snel op om de natuur terug te brengen!	Lösen Sie die Rätsel schnell, um die Natur zurückzubringen!	¡Resuelve los rompecabezas rápidamente para recuperar la naturaleza!	Résolvez rapidement les puzzles pour ramener la nature!	パズルをすばやく解決して、自然を取り戻してください！	퍼즐을 빠르게 해결하여 자연을 되 찾으십시오!	迅速解決難題以帶回大自然！	Быстро решите головоломки, чтобы вернуть природу!	प्रकृति को वापस लाने के लिए पहेलियों को जल्दी से हल करें!
asia_dialogue_3	Solving at least one puzzle will unlock the next area	Het oplossen van ten minste één puzzel zal het volgende gebied ontgrendelen	Das Lösen von mindestens einem Puzzle entsperren den nächsten Bereich	Resolver al menos un rompecabezas desbloqueará la siguiente área	La résolution d'au moins un puzzle déverrouillera la zone suivante	少なくとも1つのパズルを解くと、次の領域のロックが解除されます	최소한 하나의 퍼즐을 풀면 다음 영역이 잠금 해제됩니다.	解決至少一個難題將解鎖下一個區域	Решение, по крайней мере, одна головоломка разблокирует следующую область	कम से कम एक पहेली को हल करने से अगले क्षेत्र को अनलॉक किया जाएगा
arctic_dialogue_1	Even the cold Arctic was not save from evil	Zelfs het koude poolte was niet gered van het kwaad	Sogar die kalte Arktis war nicht vor dem Bösen gerettet	Incluso el frío ártico no era salvado del mal	Même le froid de l'Arctique n'était pas sauve du mal	寒い北極でさえ悪から救われませんでした	차가운 북극조차도 악에서 구원이되지 않았습니다	甚至冰冷的北極也沒有脫離邪惡	Даже холодная Арктика не была спасением от зла	यहां तक ​​कि ठंड आर्कटिक को बुराई से नहीं बचाया गया था
arctic_dialogue_2	Various patterns of mines have been spread out	Verschillende patronen van mijnen zijn verspreid	Verschiedene Minenmuster wurden verteilt	Se han extendido varios patrones de minas	Divers modèles de mines ont été répartis	さまざまな鉱山のパターンが広がっています	다양한 패턴의 광산이 퍼졌습니다	各種地雷模式已經散佈	Различные шаблоны шахт были распространены	खानों के विभिन्न पैटर्न फैल गए हैं
arctic_dialogue_3	You are one puzzle away from the next area!	Je bent een puzzel verwijderd van het volgende gebied!	Sie sind ein Rätsel vom nächsten Bereich entfernt!	¡Estás a un rompecabezas de la siguiente área!	Vous êtes à un puzzle de la zone suivante!	あなたは次のエリアから1つのパズルです！	당신은 다음 지역에서 한 퍼즐입니다!	您距離下一個區域是一個難題！	Вы одна загадка вдали от следующей области!	आप अगले क्षेत्र से एक पहेली दूर हैं!
islands_dialogue_1	You actually made it to the island where evil resides	Je hebt eigenlijk het eiland gehaald waar het kwaad woont	Sie haben es tatsächlich zur Insel geschafft, auf der das Böse wohnt	De hecho, llegaste a la isla donde reside el mal	Vous êtes en fait arrivé sur l'île où réside le mal	あなたは実際に悪が住んでいる島に到着しました	당신은 실제로 악의가있는 섬으로 만들었습니다.	您實際上是到邪惡居住的島上	Вы на самом деле добрались до острова, где проживает зло	आपने वास्तव में इसे उस द्वीप पर बनाया जहां बुराई रहता है
islands_dialogue_2	Be wary about the puzzle here	Wees op uw hoede voor de puzzel hier	Seien Sie hier vorsichtig mit dem Puzzle	Tenga cuidado con el rompecabezas aquí	Méfiez-vous du puzzle ici	ここでパズルについては注意してください	퍼즐에 대해 조심하십시오	對這裡的難題保持警惕	Будьте осторожны с головоломкой здесь	यहाँ पहेली के बारे में सावधान रहें
islands_dialogue_3	It will be different from anything you faced so far	Het zal anders zijn dan alles waar je tot nu toe voor hebt geconfronteerd	Es wird anders sein als alles, was Sie bisher konfrontiert haben	Será diferente de todo lo que te enfrentes hasta ahora	Ce sera différent de tout ce que vous avez affronté jusqu'à présent	それはあなたがこれまでに直面したものとは異なります	지금까지 직면 한 것과 다를 것입니다.	到目前為止您面臨的一切都會有所不同	Это будет отличаться от всего, с чем вы столкнулись до сих пор	यह अब तक आपके सामने आने वाली किसी भी चीज़ से अलग होगा
islands_dialogue_4	May the shuffles be in your favour!	Mogen de shuffles in uw voordeel zijn!	Mögen die Mischungen zu Ihren Gunsten sein!	¡Que los barajos estén a tu favor!	Que les shuffles soient en votre faveur!	シャッフルがあなたに有利になりますように！	셔플이 당신에게 유리하게되기를 바랍니다!	願散散的人對您有利！	Пусть перетасовывает в вашу пользу!	फेरबदल आपके पक्ष में हो सकता है!
desert_dialogue_1	You have made amazing progress so far	Je hebt tot nu toe een geweldige vooruitgang geboekt	Sie haben bisher erstaunliche Fortschritte gemacht	Has hecho un progreso sorprendente hasta ahora	Vous avez fait des progrès incroyables jusqu'à présent	あなたはこれまで驚くべき進歩を遂げました	당신은 지금까지 놀라운 진전을 이루었습니다	到目前為止，您取得了驚人的進步	Вы до сих пор добились удивительного прогресса	आपने अब तक अद्भुत प्रगति की है
desert_dialogue_2	There is still some evil lurking around	Er is nog steeds een kwaad op de loer	Es lauert immer noch etwas Übels herum	Todavía hay un mal al acecho	Il y a encore un mal qui se cache autour	まだいくつかの邪悪な潜んでいる	여전히 약간의 악한 숨어 있습니다	仍然有一些潛伏的邪惡	Есть еще какое -то зло, скрывающееся	अभी भी कुछ बुराई के आसपास दुबका हुआ है
desert_dialogue_3	The heat here is killing	De hitte hier is doden	Die Hitze hier tötet	El calor aquí esta matando	La chaleur ici tue	ここでの暑さは殺されています	여기의 열은 죽고 있습니다	這裡的熱量正在殺人	Тепло здесь убивает	यहाँ गर्मी मार रही है
desert_dialogue_4	But will that stop you from solving the biggest puzzle yet?	Maar zal dat je ervan weerhouden om de grootste puzzel al op te lossen?	Aber wird Sie das davon abhalten, das bisher größte Puzzle zu lösen?	¿Pero eso te impedirá resolver el rompecabezas más grande hasta ahora?	Mais cela vous empêchera-t-il de résoudre le plus grand puzzle à ce jour?	しかし、それはあなたがまだ最大のパズルを解くのを止めるでしょうか？	그러나 그게 당신이 아직 가장 큰 퍼즐을 풀지 못하게할까요?	但是，這會阻止您解決最大的難題嗎？	Но остановит ли вас решать самую большую головоломку?	लेकिन क्या यह आपको सबसे बड़ी पहेली को हल करने से रोक देगा?
desert_dialogue_5	Hopefully this will be the end to all evil	Hopelijk is dit het einde van al het kwaad	Hoffentlich ist dies das Ende für alle Bösen	Ojalá este sea el final de todo mal	J'espère que ce sera la fin de tout le mal	うまくいけば、これがすべての悪の終わりになるでしょう	바라건대 이것은 모든 악의 끝이 될 것입니다	希望這將成為一切邪惡的終結	Надеюсь, это будет конец всего зла	उम्मीद है कि यह सभी बुराई का अंत होगा
universe_dialogue_1	Explosive mines are being shot into the galaxy	Explosieve mijnen worden in de melkweg geschoten	Explosive Minen werden in die Galaxie geschossen	Las minas explosivas se están disparando a la galaxia	Des mines explosives sont abattues dans la galaxie	爆発的な鉱山が銀河に撃たれています	폭발성 광산이 은하계에 총에 맞았습니다	爆炸地雷被射入銀河系	Взрывные мины застреляются в галактику	विस्फोटक खानों को आकाशगंगा में गोली मार दी जा रही है
universe_dialogue_2	Solve them to prevent further damage and chaos	Los ze op om verdere schade en chaos te voorkomen	Lösen Sie sie, um weitere Schäden und Chaos zu verhindern	Resuelvalos para evitar más daños y caos	Les résoudre pour éviter d'autres dommages et le chaos	それらを解決して、さらなる損傷とカオスを防ぎます	추가 피해와 혼란을 방지하기 위해 해결하십시오	解決它們以防止進一步的傷害和混亂	Решите их, чтобы предотвратить дальнейший ущерб и хаос	आगे की क्षति और अराजकता को रोकने के लिए उन्हें हल करें
universe_dialogue_3	You have gained access to new orientation controls	U hebt toegang gekregen tot nieuwe oriëntatiebeheersing	Sie haben Zugang zu neuen Orientierungssteuerungen erhalten	Ha obtenido acceso a nuevos controles de orientación	Vous avez eu accès à de nouveaux contrôles d'orientation	新しいオリエンテーションコントロールにアクセスできました	새로운 오리엔테이션 컨트롤에 접근 할 수 있습니다	您已經獲得了新的定向控件的訪問權限	Вы получили доступ к новым элементам управления ориентацией	आपने नए ओरिएंटेशन कंट्रोल तक पहुंच प्राप्त की है
universe_dialogue_4	Hold the middle mouse button or WASD to look around	Houd de middelste muisknop vast of werd om rond te kijken	Halten Sie die mittlere Maustaste oder WASD gedrückt, um sich umzusehen	Mantenga presionado el botón del mouse medio o el tiempo para mirar a su alrededor	Tenez le bouton du milieu de la souris ou Wasd pour regarder autour de vous	中央のマウスボタンを持っているか、周りを見回してください	중간 마우스 버튼 또는 WASD를 누르려면 주변을 둘러보십시오.	握住中間鼠標按鈕或wasd環顧四周	Держать среднюю кнопку мыши или не	चारों ओर देखने के लिए मध्य माउस बटन या wasd को पकड़ें
universe_dialogue_5	This might be the most challenging one yet...	Dit is misschien wel de meest uitdagende tot nu toe ...	Dies könnte der bisher herausforderndste sein ...	Este podría ser el más desafiante hasta ahora ...	C'est peut-être le plus difficile à ce jour ...	これはまだ最も挑戦的なものかもしれません...	이것은 아직 가장 도전적인 것일 수 있습니다 ...	這可能是迄今為止最具挑戰性的...	Это может быть самым сложным еще ...	यह अभी तक सबसे चुनौतीपूर्ण हो सकता है ...
anomaly_dialogue_1	This place... it is so strange	Deze plek ... het is zo vreemd	Dieser Ort ... es ist so seltsam	Este lugar ... es tan extraño	Cet endroit ... c'est tellement étrange	この場所...それはとても奇妙です	이곳은 ... 너무 이상합니다	這個地方...太奇怪了	Это место ... это так странно	यह जगह ... यह बहुत अजीब है
anomaly_dialogue_2	There are secrets we have to uncover here	Er zijn geheimen die we hier moeten ontdekken	Es gibt Geheimnisse, die wir hier aufdecken müssen	Hay secretos que tenemos que descubrir aquí	Il y a des secrets que nous devons découvrir ici	ここで明らかにしなければならない秘密があります	여기서 우리가 발견해야 할 비밀이 있습니다	我們必須在這裡發現一些秘密	Есть секреты, которые мы должны раскрыть здесь	ऐसे रहस्य हैं जिन्हें हमें यहां उजागर करना होगा
anomaly_dialogue_3	At least there are no bugs in this odd place	Er zijn tenminste geen bugs op deze vreemde plek	Zumindest gibt es an diesem seltsamen Ort keine Fehler	Al menos no hay errores en este lugar extraño	Au moins, il n'y a pas de bugs dans cet endroit étrange	少なくともこの奇妙な場所にバグはありません	적어도이 이상한 장소에는 버그가 없습니다.	至少在這個奇怪的地方沒有錯誤	По крайней мере, в этом странном месте нет ошибок	कम से कम इस अजीब जगह में कोई बग नहीं हैं
										
islands_completed_1	Congratulations!	Gefeliciteerd!	Glückwunsch!	¡Felicidades!	Toutes nos félicitations!	おめでとう！	축하해요!	恭喜！	Поздравляю!	बधाई हो!
islands_completed_2	You have thwarted all evil!	Je hebt al het kwaad gedwanteld!	Du hast alles böse vereitelt!	¡Has frustrado todo mal!	Vous avez contrecarré tout le mal!	あなたはすべての悪を妨害しました！	당신은 모든 악을 막았습니다!	你挫敗了一切邪惡！	Вы сорвали все зло!	आपने सभी बुराई को विफल कर दिया है!
islands_completed_3	You have proven yourself against all odds, but...	Je hebt jezelf bewezen tegen alle verwachtingen in, maar ...	Sie haben sich gegen alle Widrigkeiten bewiesen, aber ...	Te has demostrado en contra de todas las probabilidades, pero ...	Vous vous êtes prouvé contre toute attente, mais ...	あなたはすべての可能性に対して自分自身を証明しましたが...	당신은 모든 가능성에 대해 자신을 증명했지만 ...	您已經證明了自己的一切困難，但是...	Вы доказали себя несмотря ни на что, но ...	आपने अपने आप को सभी बाधाओं के खिलाफ साबित किया है, लेकिन ...
islands_completed_4	There is still plenty left to solve, good luck	Er is nog genoeg over om op te lossen, veel geluk	Es ist noch noch viel zu lösen, viel Glück	Todavía queda mucho para resolver, buena suerte	Il reste encore beaucoup à résoudre, bonne chance	解決するためにまだたくさん残っています、幸運	아직 해결해야 할 것이 여전히 많아서 행운을 빕니다	還有很多要解決的地方，祝你好運	Есть еще много времени, чтобы решить, удачи	हल करने के लिए अभी भी बहुत कुछ बचा है, सौभाग्य
